speaker,speaker_id,コンテンツ数
ジョン・ロンソン,391,1
マレーネ・ズク,392,1
サルヴァトーレ・ヤコネッシ,393,1
アレック・ソス、ステイシー・ベイカー,394,1
アスペン・ベイカー,395,1
ノイ・スラプカウ,396,1
アッシュ・ベッカム,397,2
ジョハン・ハリ,398,1
メモリ・バンダ,399,1
ラジブ・マヒシュワラン,400,1
ゲイル・ゼマク・レモン,401,1
ジミー・カーター,402,1
デイム・エレン・マッカーサー,403,1
クリス・アームソン,404,1
マリーン・マッケーナ,405,1
チップ・キッド,406,2
ロクサーヌ・ゲイ,407,1
ジョーイ・アレキサンダー,408,1
ラトーヤ・ルビー・フレージャー,409,1
スティーヴ・シルバーマン,410,1
マーガレット・ヘファーナン,411,3
ラナ・エル・カリウビ,412,1
リー・モコベ,413,1
ドナルド・ホフマン,414,1
サラ・ジョーンズ,415,3
スキ・キム,416,1
リンダ・クリアット=ウェイマン,417,1
トレバー・アーロンソン,418,1
トニー・ファデル,419,1
ローラ・シュルツ,420,1
ビル・グロス,421,1
ジミー・ネルソン,422,1
サラ・シーガー,423,1
ヤズミン・アブデルマジッド,424,1
ジェフリー・ブラウン牧師,425,1
クリス・バーカード,426,1
エステル・ペレル,427,2
スティーブン・ワイズ,428,1
コスミン・ミハイユ,429,1
マーティーン・ロスブラット,430,1
ザ・レディー・ライファーズ,431,1
ローマン・マーズ,432,1
エローラ・ハーディー,433,1
アナンド・ヴァルマー,434,1
ドーン・ランデス,435,1
タル・ダニノ,436,1
ビル・T・ジョーンズ,437,1
エイブ・デイヴィス,438,1
パメラ・ロナルド,439,1
アリス・ゴフマン,440,1
ソフィー・スコット,441,1
グレッグ・ゲイジ,442,1
ニック・ボストロム,443,1
ニザール・イブラヒム,444,1
クリント・スミス,445,2
クリス・ミルク,446,1
ゲイリー・ホーゲン,447,1
ナタリー・キャブロール,448,1
ポール・チューダー・ジョーンズ,449,1
手塚貴晴,450,1
カイラシュ・サティーアーティ,451,1
